INDEX	TAG	NAME	POSITION (top-left x & y)	SIZE (width & height)	TEXT
1	menu	Google Chrome	(99, 0)	(162, 27)	''
2	menu	System	(1814, 0)	(106, 27)	''
3	push-button	Google Chrome	(0, 33)	(70, 64)	''
4	push-button	Terminal	(0, 101)	(70, 64)	''
5	push-button	Visual Studio Code	(0, 169)	(70, 64)	''
6	push-button	Files	(0, 237)	(70, 64)	''
7	push-button	Text Editor	(0, 305)	(70, 64)	''
8	push-button	LibreOffice Calc	(0, 373)	(70, 64)	''
9	push-button	LibreOffice Writer	(0, 441)	(70, 64)	''
10	push-button	Document Viewer	(0, 509)	(70, 64)	''
11	push-button	Floppy Disk	(0, 580)	(70, 64)	''
12	push-button	Trash	(0, 648)	(70, 64)	''
13	toggle-button	Show Applications	(0, 1010)	(70, 70)	''
14	icon		(104, 33)	(64, 64)	''
15	label	Home	(116, 101)	(40, 17)	'Home'
16	icon		(1821, 969)	(64, 64)	''
17	label	data.​csv	(1825, 1037)	(56, 17)	'data.\u200bcsv'
18	icon		(1821, 852)	(64, 64)	''
19	label	logistic_​regression.​ipynb	(1793, 920)	(120, 34)	'logistic_\u200bregression.\u200bipynb'
20	push-button	Minimise	(1802, 27)	(30, 35)	'Minimise'
21	push-button	Restore	(1842, 27)	(30, 35)	'Restore'
22	push-button	Close	(1882, 27)	(38, 35)	'Close'
23	push-button	Search tabs	(76, 27)	(28, 41)	'Search tabs'
24	push-button	Close	(312, 33)	(28, 28)	'Close'
25	push-button	Close	(550, 33)	(28, 28)	'Close'
26	push-button	New Tab	(586, 27)	(28, 41)	'New Tab'
27	push-button	Back	(70, 73)	(39, 34)	'Back'
28	push-button	Reload	(147, 73)	(34, 34)	'Reload'
29	push-button	View site information	(195, 78)	(24, 24)	''
30	entry	Address and search bar	(227, 78)	(1428, 24)	'localhost:8888/lab/tree/logistic_regression.ipynb'
31	push-button	Bookmark this tab	(1657, 78)	(24, 24)	''
32	push-button	Side panel	(1702, 73)	(34, 34)	'Side panel'
33	push-button	You	(1738, 73)	(34, 34)	'You'
34	push-button	Finish update	(1777, 73)	(143, 34)	'Finish update'
35	document-web	logistic_reg… - JupyterLab	(70, 114)	(1850, 966)	''
36	image		(78, 117)	(16, 21)	''
37	menu-item	File	(103, 114)	(40, 28)	''
38	section		(112, 115)	(22, 27)	'File'
