INDEX	TAG	NAME	POSITION (top-left x & y)	SIZE (width & height)	TEXT
1	menu	Google Chrome	(99, 0)	(162, 27)	''
2	menu	System	(1782, 0)	(106, 27)	''
3	push-button	Google Chrome	(0, 33)	(70, 64)	''
4	push-button	Terminal	(0, 101)	(70, 64)	''
5	push-button	Visual Studio Code	(0, 169)	(70, 64)	''
6	push-button	Files	(0, 237)	(70, 64)	''
7	push-button	Text Editor	(0, 305)	(70, 64)	''
8	push-button	LibreOffice Calc	(0, 373)	(70, 64)	''
9	push-button	LibreOffice Writer	(0, 441)	(70, 64)	''
10	push-button	Document Viewer	(0, 509)	(70, 64)	''
11	push-button	Floppy Disk	(0, 580)	(70, 64)	''
12	push-button	Trash	(0, 648)	(70, 64)	''
13	toggle-button	Show Applications	(0, 1210)	(70, 70)	''
14	icon		(102, 33)	(64, 64)	''
15	label	Home	(114, 101)	(40, 17)	'Home'
16	icon		(1790, 910)	(64, 64)	''
17	label	AdaBoost.​ipynb	(1769, 978)	(107, 17)	'AdaBoost.\u200bipynb'
18	push-button	Minimise	(1770, 27)	(30, 35)	'Minimise'
19	push-button	Restore	(1810, 27)	(30, 35)	'Restore'
20	push-button	Close	(1850, 27)	(38, 35)	'Close'
21	push-button	Search tabs	(76, 27)	(28, 41)	'Search tabs'
22	push-button	Close	(312, 33)	(28, 28)	'Close'
23	push-button	Close	(550, 33)	(28, 28)	'Close'
24	push-button	New Tab	(586, 27)	(28, 41)	'New Tab'
25	push-button	Back	(70, 73)	(39, 34)	'Back'
26	push-button	Reload	(147, 73)	(34, 34)	'Reload'
27	push-button	View site information	(195, 78)	(24, 24)	''
28	entry	Address and search bar	(227, 78)	(1356, 24)	'localhost:8888/lab/tree/AdaBoost.ipynb'
29	push-button	Bookmark this tab	(1585, 78)	(24, 24)	''
30	push-button	Side panel	(1630, 73)	(34, 34)	'Side panel'
31	push-button	You	(1666, 73)	(34, 34)	'You'
32	push-button	Relaunch to update	(1705, 73)	(183, 34)	'Relaunch to update'
33	document-web	AdaBoost.ipynb - JupyterLab	(70, 114)	(1818, 1166)	''
34	image		(78, 117)	(16, 21)	''
35	menu-item	File	(103, 114)	(40, 28)	''
36	section		(112, 115)	(22, 27)	'File'
37	static	File	(112, 121)	(22, 14)	'File'
38	menu-item	Edit	(142, 114)	(42, 28)	''
39	section		(151, 115)	(24, 27)	'Edit'
40	static	Edit	(151, 121)	(24, 14)	'Edit'
41	menu-item	View	(183, 114)	(48, 28)	''
