INDEX	TAG	NAME	POSITION (top-left x & y)	SIZE (width & height)	TEXT
1	menu	Google Chrome	(99, 0)	(162, 27)	''
2	menu	System	(1814, 0)	(106, 27)	''
3	push-button	Google Chrome	(0, 33)	(70, 64)	''
4	push-button	Terminal	(0, 101)	(70, 64)	''
5	push-button	Visual Studio Code	(0, 169)	(70, 64)	''
6	push-button	Files	(0, 237)	(70, 64)	''
7	push-button	Text Editor	(0, 305)	(70, 64)	''
8	push-button	LibreOffice Calc	(0, 373)	(70, 64)	''
9	push-button	LibreOffice Writer	(0, 441)	(70, 64)	''
10	push-button	Document Viewer	(0, 509)	(70, 64)	''
11	push-button	Floppy Disk	(0, 580)	(70, 64)	''
12	push-button	Trash	(0, 648)	(70, 64)	''
13	toggle-button	Show Applications	(0, 1010)	(70, 70)	''
14	icon		(104, 33)	(64, 64)	''
15	label	Home	(116, 101)	(40, 17)	'Home'
16	push-button	Minimise	(1802, 27)	(30, 35)	'Minimise'
17	push-button	Restore	(1842, 27)	(30, 35)	'Restore'
18	push-button	Close	(1882, 27)	(38, 35)	'Close'
19	push-button	Search tabs	(76, 27)	(28, 41)	'Search tabs'
20	push-button	Close	(312, 33)	(28, 28)	'Close'
21	push-button	Close	(550, 33)	(28, 28)	'Close'
22	push-button	New Tab	(586, 27)	(28, 41)	'New Tab'
23	push-button	Reload	(147, 73)	(34, 34)	'Reload'
24	push-button	View site information	(195, 78)	(24, 24)	''
25	entry	Address and search bar	(227, 78)	(1388, 24)	'localhost:8888/lab/tree/AdaBoost.ipynb'
26	push-button	Relaunch to update	(1737, 73)	(183, 34)	'Relaunch to update'
27	document-web	AdaBoost.ipynb - JupyterLab	(70, 114)	(1850, 966)	''
28	image		(78, 117)	(16, 21)	''
29	menu-item	File	(103, 114)	(40, 28)	''
30	section		(112, 115)	(22, 27)	'File'
31	static	File	(112, 121)	(22, 14)	'File'
32	menu-item	Edit	(142, 114)	(42, 28)	''
33	section		(151, 115)	(24, 27)	'Edit'
34	static	Edit	(151, 121)	(24, 14)	'Edit'
35	menu-item	View	(183, 114)	(48, 28)	''
36	section		(192, 115)	(30, 27)	'View'
37	static	View	(192, 121)	(30, 14)	'View'
38	menu-item	Run	(230, 114)	(42, 28)	''
39	section		(239, 115)	(24, 27)	'Run'
40	static	Run	(239, 121)	(24, 14)	'Run'
41	menu-item	Kernel	(271, 114)	(58, 28)	''
42	section		(280, 115)	(40, 27)	'Kernel'
43	static	Kernel	(280, 121)	(40, 14)	'Kernel'
44	menu-item	Tabs	(328, 114)	(46, 28)	''
45	section		(337, 115)	(28, 27)	'Tabs'
46	static	Tabs	(337, 121)	(28, 14)	'Tabs'
47	menu-item	Settings	(373, 114)	(67, 28)	''
48	section		(382, 115)	(49, 27)	'Settings'
49	static	Settings	(382, 121)	(49, 14)	'Settings'
50	menu-item	Help	(439, 114)	(47, 28)	''
51	section		(448, 115)	(29, 27)	'Help'
52	static	Help	(448, 121)	(29, 14)	'Help'
53	section	Code Cell Content	(371, 581)	(1485, 75)	''
54	section		(449, 591)	(1401, 19)	'iris = datasets.load_iris()'
55	static	iris 	(455, 592)	(40, 15)	'iris'
56	static	=	(494, 592)	(8, 15)	'='
57	static	 datasets	(501, 592)	(72, 15)	'datasets'
58	static	.	(572, 592)	(9, 15)	'.'
59	static	load_iris	(580, 592)	(71, 15)	'load_iris'
60	static	(	(650, 592)	(9, 15)	'('
61	static	)	(658, 592)	(9, 15)	')'
62	section		(449, 609)	(1401, 19)	'X = iris.data'
63	static	X 	(455, 610)	(16, 16)	'X'
64	static	=	(470, 610)	(9, 16)	'='
65	static	 iris	(478, 610)	(40, 16)	'iris'
66	static	.	(517, 610)	(9, 16)	'.'
67	static	data	(525, 610)	(32, 16)	'data'
68	section		(449, 627)	(1401, 19)	'y = iris.target'
69	static	y 	(455, 628)	(16, 16)	'y'
70	static	=	(470, 628)	(9, 16)	'='
71	static	 iris	(478, 628)	(40, 16)	'iris'
72	static	.	(517, 628)	(9, 16)	'.'
73	static	target	(525, 628)	(48, 16)	'target'
74	section	Markdown Cell Content	(371, 655)	(1485, 62)	''
75	section	Code Cell Content	(371, 716)	(1485, 40)	''
76	section	Markdown Cell Content	(371, 755)	(1485, 61)	''
77	section	Code Cell Content	(371, 815)	(1485, 76)	''
78	section	Markdown Cell Content	(371, 890)	(1485, 61)	''
79	section	Code Cell Content with Output	(371, 950)	(1485, 65)	''
80	section		(1596, 975)	(297, 28)	'Would you like to receive official Jupyter news?\nPlease read the privacy policy.'
81	static	Would you like to receive official Jupyter news?	(1596, 975)	(279, 14)	'Would you like to receive official Jupyter news?'
82	static	Please read the privacy policy.	(1596, 989)	(178, 14)	'Please read the privacy policy.'
83	push-button	Open privacy policy	(1705, 1012)	(120, 24)	'Open privacy policy'
84	push-button	Yes	(1827, 1012)	(34, 24)	'Yes'
85	push-button	Hide notification	(1872, 969)	(31, 30)	''
86	image		(1879, 974)	(16, 17)	''
